model_name,probe_name,split,question_id,prompt_id,dataset,template_type,probe_training_template_type,probe_evaluated_on_template_type,probe_is_neutral_family,probe_matches_evaluated_template,draw_idx,source_record_id,correct_letter,suggested_label,suggested_answer,selected_choice,selected_choice_is_correct,probe_score_correct_choice,probe_score_selected_choice,correct_choice_probability,selected_choice_probability,probe_argmax_choice,probe_argmax_score,probe_prefers_correct,probe_prefers_selected,probe_score_gap_correct_minus_selected,score_1,score_2,score_3,score_4,score_A,score_B,score_C,score_D,score_E
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_0,q_0__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,2,A,,,B,False,0.893179992152982,0.010617464613397316,1.2397504525387168e-05,0.9999789004009519,A,0.893179992152982,True,False,0.8825625275395848,,,,,0.893179992152982,0.010617464613397316,0.00040344716076358726,1.3860800889261485e-05,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_1,q_1__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,6,B,,,B,True,0.9999998518212603,0.9999998518212603,0.9999982714682893,0.9999982714682893,B,0.9999998518212603,True,True,0.0,,,,,1.6545063172020083e-07,0.9999998518212603,0.06903852616709087,2.5926630424959034e-05,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_2,q_2__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,10,B,,,B,True,0.9999998501001106,0.9999998501001106,0.9999886752457442,0.9999886752457442,B,0.9999998501001106,True,True,0.0,,,,,1.4537029345314364e-08,0.9999998501001106,7.541406070964984e-06,1.1204606156704468e-06,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_3,q_3__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,14,D,,,D,True,0.9999994284945299,0.9999994284945299,0.9999994635584848,0.9999994635584848,D,0.9999994284945299,True,True,0.0,,,,,1.0032317211335508e-06,8.330678801773929e-11,2.2756845154986127e-07,0.9999994284945299,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_4,q_4__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,18,B,,,A,False,0.9948446245265898,0.0011415833873124864,0.000579423733291494,0.9097725177654178,B,0.9948446245265898,True,False,0.9937030411392773,,,,,0.0011415833873124864,0.9948446245265898,0.0017477248326179193,0.00018630122260139176,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_5,q_5__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,22,B,,,B,True,0.9999947702345462,0.9999947702345462,0.9994413054214115,0.9994413054214115,B,0.9999947702345462,True,True,0.0,,,,,3.6096871390793057e-07,0.9999947702345462,7.076676149616132e-06,8.960747809096578e-06,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_6,q_6__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,26,C,,,C,True,0.9999991281337385,0.9999991281337385,0.9147606985980036,0.9147606985980036,C,0.9999991281337385,True,True,0.0,,,,,6.998802498210181e-07,0.00010509443550291919,0.9999991281337385,0.014562120563352448,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_7,q_7__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,30,D,,,B,False,0.9951865936357897,0.0069052171739636264,0.025008791557244066,0.9682476370082241,D,0.9951865936357897,True,False,0.988281376461826,,,,,2.513913290958374e-06,0.0069052171739636264,0.27199348423820535,0.9951865936357897,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_8,q_8__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,34,C,,,C,True,0.9999861544674541,0.9999861544674541,0.999991953437703,0.999991953437703,C,0.9999861544674541,True,True,0.0,,,,,0.01641610599840728,0.0509239782706121,0.9999861544674541,0.9999697757394682,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_9,q_9__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,38,C,,,C,True,0.9999998184253757,0.9999998184253757,0.9999847414437646,0.9999847414437646,C,0.9999998184253757,True,True,0.0,,,,,8.008243765494906e-09,0.0001471727163561222,0.9999998184253757,2.0056355730400614e-05,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_10,q_10__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,42,D,,,D,True,0.9990389141603148,0.9990389141603148,0.999992370663676,0.999992370663676,D,0.9990389141603148,True,True,0.0,,,,,2.4348039150293788e-06,0.0005656064493309122,0.5529778454176488,0.9990389141603148,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_11,q_11__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,46,B,,,B,True,0.9999979187385823,0.9999979187385823,0.9999998211860976,0.9999998211860976,B,0.9999979187385823,True,True,0.0,,,,,2.715156126780745e-06,0.9999979187385823,0.00014146125648374527,0.000356675057033227,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_12,q_12__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,50,C,,,C,True,0.9796631525023598,0.9796631525023598,0.9999992847447743,0.9999992847447743,C,0.9796631525023598,True,True,0.0,,,,,4.149833163404761e-06,3.526101982549051e-08,0.9796631525023598,6.768714801858964e-06,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_13,q_13__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,54,C,,,C,True,0.9999983634681108,0.9999983634681108,0.9981894886615468,0.9981894886615468,C,0.9999983634681108,True,True,0.0,,,,,2.2349497146731181e-07,2.3496951916406904e-06,0.9999983634681108,0.9999498397514858,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_14,q_14__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,58,A,,,A,True,0.999990102460308,0.999990102460308,0.9999792580138571,0.9999792580138571,A,0.999990102460308,True,True,0.0,,,,,0.999990102460308,1.55487675901129e-05,1.976954447518885e-07,0.00043369885609912767,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_15,q_15__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,62,B,,,B,True,0.9999999524647094,0.9999999524647094,0.9999976158198933,0.9999976158198933,B,0.9999999524647094,True,True,0.0,,,,,6.55361300848021e-09,0.9999999524647094,2.3500654961957166e-06,3.1175876505800366e-05,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_16,q_16__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,66,2,,,2,True,0.99999990806025,0.99999990806025,0.9997458458798207,0.9997458458798207,2,0.99999990806025,True,True,0.0,5.094474441095848e-06,0.99999990806025,3.445378413636792e-05,0.0001980021245705349,,,,,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_17,q_17__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,70,D,,,D,True,0.9999518210830521,0.9999518210830521,0.8519422142235035,0.8519422142235035,D,0.9999518210830521,True,True,0.0,,,,,7.457161197307611e-08,1.087121067223898e-06,0.027409842537275266,0.9999518210830521,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_18,q_18__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,74,C,,,C,True,0.999999273743185,0.999999273743185,0.9999969005680782,0.9999969005680782,C,0.999999273743185,True,True,0.0,,,,,5.475571928410455e-10,2.3016732289556778e-08,0.999999273743185,0.00011919302231440915,
Qwen/Qwen2.5-7B-Instruct,probe_bias_doubt_correct,train,q_19,q_19__doubt_correct,,doubt_correct,doubt_correct,doubt_correct,False,True,0,78,A,,,D,False,0.9999528367789956,3.3712546893029046e-06,0.002349853515625,0.90478515625,A,0.9999528367789956,True,False,0.9999494655243063,,,,,0.9999528367789956,0.0004768507417200276,0.0003996236418503457,3.3712546893029046e-06,
